Ceremony,Year,Location,Class,Category,Movie,Movie Code,Name,Nominees,Winner,Detail,Note
87,2014,"509 Washington Pl, New York, NY 10003, USA",SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),,,,Magnus Wrenninge,True,Digital Imaging Technology,"Field3D provides a flexible and open framework for storing and accessing voxel data efficiently. This allows interchange between previously incompatible modeling, simulation and rendering software."
87,2014,"510 Washington Pl, New York, NY 10003, USA",SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),,,,Robert Bridson,True,Digital Imaging Technology,Robert Bridson's pioneering work on voxel data structures and its subsequent validation in fluid simulation tools have had a significant impact on the design of volumetric tools throughout the visual effects industry.
87,2014,"511 Washington Pl, New York, NY 10003, USA",SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),,,,KEN MUSETH|PETER CUCKA|MIHAI ALDÉN,True,Digital Imaging Technology,"OpenVDB is a widely adopted, sparse hierarchical data structure that provides a fast and efficient mechanism for storing and manipulating voxels."
87,2014,"512 Washington Pl, New York, NY 10003, USA",Special,AWARD OF COMMENDATION,,,,Steven Tiffen|Jeff Cohen|Michael Fecik,True,,The Tiffen Company identified the problem and rapidly engineered a series of absorptive filters that ameliorated infrared artifacts with lenses of all focal lengths. These widely adopted filters allow cinematographers to work as they have done with film-based technology.
88,2015,"191 Washington Square South, New York, NY 10012, United States",Special,JEAN HERSHOLT HUMANITARIAN AWARD,,,Debbie Reynolds,Debbie Reynolds,True,,
88,2015,"192 Washington Square South, New York, NY 10012, United States",Special,HONORARY AWARD,,,,Spike Lee,True,,
88,2015,"193 Washington Square South, New York, NY 10012, United States",Special,HONORARY AWARD,,,,Gena Rowlands,True,,
88,2015,"194 Washington Square South, New York, NY 10012, United States",SciTech,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),,,,BRIAN McLEAN|Martin Meunier,True,Digital Imaging Technology,"LAIKA's inventive use of rapid prototyping has enabled artistic leaps in character expressiveness, facial animation, motion blur and effects animation. Through highly specialized pipelines and techniques, 3D printing capabilities have been harnessed with color uniformity, mechanical repeatability, and the scale required to significantly enhance stop-motion animated feature films."
88,2015,"195 Washington Square South, New York, NY 10012, United States",SciTech,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),,,,Jack Greasley|Kiyoyuki Nakagaki|Duncan Hopkins|Carl Rand,True,Digital Imaging Technology,"Combining powerful, multilayer painting tools and a unique texture-management system, MARI simplifies working with large, high-resolution texture sets. It has achieved broad adoption in the visual effects industry, often supplanting long-term in-house systems."
88,2015,"196 Washington Square South, New York, NY 10012, United States",SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),,,,Michael John Keesling,True,Special Photographic,"The Image Shaker was unique and superior to alternatives in use when it was invented two decades ago, and it continues to be used today."
